"","Model"
"539","Boeing 737-260 Adv."
"540","Boeing 737-266"
"541","Boeing 737-268"
"542","Boeing 737-268 Adv."
"543","Boeing 737-269"
"544","Boeing 737-270"
"545","Boeing 737-270C"
"546","Boeing 737-275"
"547","Boeing 737-281"
"548","Boeing 737-282 Adv."
"549","Boeing 737-284"
"550","Boeing 737-287"
"551","Boeing 737-287C"
"552","Boeing 737-291"
"553","Boeing 737-293"
"554","Boeing 737-296"
"555","Boeing 737-297"
"556","Boeing 737-2A1"
"557","Boeing 737-2A1C"
"558","Boeing 737-2A8"
"559","Boeing 737-2A8 Advanced"
"560","Boeing 737-2A8F"
"561","Boeing 737-2A9"
"562","Boeing 737-2B1"
"563","Boeing 737-2B7"
"564","Boeing 737-2C3"
"565","Boeing 737-2D6C"
"566","Boeing 737-2E1F"
"567","Boeing 737-2F9"
"568","Boeing 737-2H4"
"569","Boeing 737-2H6"
"570","Boeing 737-2J8C"
"571","Boeing 737-2K2C"
"572","Boeing 737-2K3"
"573","Boeing 737-2K6"
"574","Boeing 737-2K9"
"575","Boeing 737-2L9"
"576","Boeing 737-2M2"
"577","Boeing 737-2M2C"
"578","Boeing 737-2P5"
"579","Boeing 737-2P6"
"580","Boeing 737-2Q3"
"581","Boeing 737-2R4C"
"582","Boeing 737-2R8C"
"583","Boeing 737-2T2"
"584","Boeing 737-2T4"
"585","Boeing 737-2V2"
"586","Boeing 737-2X6C"
"587","Boeing 737-2Y5"
"588","Boeing 737-300"
"589","Boeing 737-301"
"590","Boeing 737-301 (SF)"
"591","Boeing 737-301F"
"592","Boeing 737-306"
"593","Boeing 737-317"
"594","Boeing 737-31B"
"595","Boeing 737-31S"
"596","Boeing 737-322"
"597","Boeing 737-322 (SF)"
"598","Boeing 737-322 (WL)"
"599","Boeing 737-330"
"600","Boeing 737-33A"
"601","Boeing 737-33A (QC)"
"602","Boeing 737-33V"
"603","Boeing 737-347 (SF)"
"604","Boeing 737-36M"
"605","Boeing 737-36N"
"606","Boeing 737-36Q (WL)"
"607","Boeing 737-38J"
"608","Boeing 737-3A4"
"609","Boeing 737-3B7"
"610","Boeing 737-3B7SF"
"611","Boeing 737-3G7"
"612","Boeing 737-3H4"
"613","Boeing 737-3H4 (WL)"
"614","Boeing 737-3K2"
"615","Boeing 737-3K9"
"616","Boeing 737-3L9"
"617","Boeing 737-3M8"
"618","Boeing 737-3Q8"
"619","Boeing 737-3Q8BDSF"
"620","Boeing 737-3T0"
"621","Boeing 737-3T5"
"622","Boeing 737-3W0"
"623","Boeing 737-3Y0"
"624","Boeing 737-401"
"625","Boeing 737-406"
"626","Boeing 737-408"
"627","Boeing 737-43QSF"
"628","Boeing 737-46J"
"629","Boeing 737-476 (SF)"
"630","Boeing 737-476SF"
"631","Boeing 737-490"
"632","Boeing 737-497"
"633","Boeing 737-49R"
"634","Boeing 737-4B6"
"635","Boeing 737-4D7"
"636","Boeing 737-4H6"
"637","Boeing 737-4L7"
"638","Boeing 737-4M0"
"639","Boeing 737-4Q8"
"640","Boeing 737-4Q8 (SF)"
"641","Boeing 737-4U3"
"642","Boeing 737-4Y0"
"643","Boeing 737-500 ?"
"644","Boeing 737-505"
"645","Boeing 737-524"
"646","Boeing 737-529"
"647","Boeing 737-53A"
"648","Boeing 737-566"
"649","Boeing 737-58E"
"650","Boeing 737-59D"
"651","Boeing 737-5L9"
"652","Boeing 737-5U3"
"653","Boeing 737-6D6"
"654","Boeing 737-73V"
"655","Boeing 737-73V (WL)"
"656","Boeing 737-75B"
"657","Boeing 737-76J (WL)"
"658","Boeing 737-76N"
"659","Boeing 737-76N (WL)"
"660","Boeing 737-7H4 (WL)"
"661","Boeing 737-7L9 (WL)"
"662","Boeing 737-7Q8"
"663","Boeing 737-7Q8 (WL)"
"664","Boeing 737-800"
"665","Boeing 737-809"
"666","Boeing 737-823 (WL)"
"667","Boeing 737-82R"
"668","Boeing 737-82R (WL)"
"669","Boeing 737-852"
"670","Boeing 737-85C (WL)"
"671","Boeing 737-85P"
"672","Boeing 737-85R"
"673","Boeing 737-85R (WL)"
"674","Boeing 737-86J (WL)"
"675","Boeing 737-86N"
"676","Boeing 737-86N (WL)"
"677","Boeing 737-881 (WL)"
"678","Boeing 737-883"
"679","Boeing 737-8AL"
"680","Boeing 737-8AS"
"681","Boeing 737-8AS (WL)"
"682","Boeing 737-8B6"
"683","Boeing 737-8BK (WL)"
"684","Boeing 737-8CT (WL)"
"685","Boeing 737-8D6"
"686","Boeing 737-8EH"
"687","Boeing 737-8F2"
"688","Boeing 737-8F2 (WL)"
"689","Boeing 737-8FB (WL)"
"690","Boeing 737-8FE (WL)"
"691","Boeing 737-8FH (WL)"
"692","Boeing 737-8GK (WL)"
"693","Boeing 737-8GP (WL)"
"694","Boeing 737-8H4 (WL)"
"695","Boeing 737-8H6 (WL)"
"696","Boeing 737-8HG (WL)"
"697","Boeing 737-8K2 (WL)"
"698","Boeing 737-8KN (WL)"
"699","Boeing 737-8Q8 (WL)"
"700","Boeing 737-924ER (WL)"
"701","Boeing 737-95R"
"702","Boeing 737-9B5"
"703","Boeing 737-9GPER"
"704","Boeing 737-9GPER (WL)"
"705","Boeing 747"
"706","Boeing 747 or 777"
"707","Boeing 747-121"
"708","Boeing 747-121 (SCD)"
"709","Boeing 747-121A"
"710","Boeing 747-121SF"
"711","Boeing 747-122"
"712","Boeing 747-123F (SCD)"
"713","Boeing 747-128"
"714","Boeing 747-130"
"715","Boeing 747-131"
"716","Boeing 747-131F"
"717","Boeing 747-132SF"
"718","Boeing 747-136"
"719","Boeing 747-151"
"720","Boeing 747-168B"
"721","Boeing 747-200"
"722","Boeing 747-206B"
"723","Boeing 747-209B"
"724","Boeing 747-209F"
"725","Boeing 747-212BSF"
"726","Boeing 747-219B"
"727","Boeing 747-228B"
"728","Boeing 747-228B (SCD)"
"729","Boeing 747-228F"
"730","Boeing 747-228F (SCD)"
"731","Boeing 747-230B"
"732","Boeing 747-230F"
"733","Boeing 747-230F (SCD)"
"734","Boeing 747-236B"
"735","Boeing 747-237B"
"736","Boeing 747-238B"
"737","Boeing 747-243B"
"738","Boeing 747-244B"
"739","Boeing 747-244BSF"
"740","Boeing 747-246B"
"741","Boeing 747-246F"
"742","Boeing 747-246F (SCD)"
"743","Boeing 747-249F"
"744","Boeing 747-251B"
"745","Boeing 747-258C"
"746","Boeing 747-258F"
"747","Boeing 747-267B"
"748","Boeing 747-269B"
"749","Boeing 747-271C (SCD)"
"750","Boeing 747-281BSF"
"751","Boeing 747-281F (SCD)"
"752","Boeing 747-282B"
"753","Boeing 747-283B"
"754","Boeing 747-2B5B"
"755","Boeing 747-2B5F (SCD)"
"756","Boeing 747-2D7B"
"757","Boeing 747-2F6B"
"758","Boeing 747-2H7B (SCD)"
"759","Boeing 747-2R7F"
"760","Boeing 747-2U3B"
"761","Boeing 747-2U3BSF"
"762","Boeing 747-306M"
"763","Boeing 747-312"
"764","Boeing 747-357"
"765","Boeing 747-368"
"766","Boeing 747-3B3"
"767","Boeing 747-3B5"
"768","Boeing 747-406"
"769","Boeing 747-409"
"770","Boeing 747-412"
"771","Boeing 747-412F"
"772","Boeing 747-422"
"773","Boeing 747-428"
"774","Boeing 747-428BCF"
"775","Boeing 747-428FER"
"776","Boeing 747-430"
"777","Boeing 747-436"
"778","Boeing 747-438"
"779","Boeing 747-44AF (SCD)"
"780","Boeing 747-451"
"781","Boeing 747-45EF"
"782","Boeing 747-481D"
"783","Boeing 747-48EF"
"784","Boeing 747-4B5"
"785","Boeing 747-4R7F"
"786","Boeing 747SP-09"
"787","Boeing 747SP-21"
"788","Boeing 747SP-44"
"789","Boeing 747SP-86"
"790","Boeing 747SR-46"
"791","Boeing 747SR-81"
"792","Boeing 757-200"
"793","Boeing 757-204"
"794","Boeing 757-21B"
"795","Boeing 757-222"
"796","Boeing 757-223"
"797","Boeing 757-223 (WL)"
"798","Boeing 757-225"
"799","Boeing 757-232"
"800","Boeing 757-232 (WL)"
"801","Boeing 757-23A"
"802","Boeing 757-23APF"
"803","Boeing 757-24APF"
"804","Boeing 757-258ER"
"805","Boeing 757-25C"
"806","Boeing 757-260"
"807","Boeing 757-28A (PCF)"
"808","Boeing 757-2B7 (WL)"
"809","Boeing 757-2K2"
"810","Boeing 757-2Q8"
"811","Boeing 757-2Z0"
"812","Boeing 757-3E7"
"813","Boeing 767"
"814","Boeing 767-219ER"
"815","Boeing 767-222"
"816","Boeing 767-223ER"
"817","Boeing 767-231ER"
"818","Boeing 767-233"
"819","Boeing 767-241ER"
"820","Boeing 767-260ER"
"821","Boeing 767-269"
"822","Boeing 767-281"
"823","Boeing 767-281SF"
"824","Boeing 767-283ER"
"825","Boeing 767-2B7ER"
"826","Boeing 767-2J6ER"
"827","Boeing 767-2S1ER"
"828","Boeing 767-31KER"
"829","Boeing 767-323"
"830","Boeing 767-323ER"
"831","Boeing 767-323ER (WL)"
"832","Boeing 767-324ER"
"833","Boeing 767-324ER (WL)"
"834","Boeing 767-330ER"
"835","Boeing 767-332ER"
"836","Boeing 767-332ER (WL)"
"837","Boeing 767-338ER"
"838","Boeing 767-338ER (WL)"
"839","Boeing 767-33AER"
"840","Boeing 767-34AF"
"841","Boeing 767-34AFER (WL)"
"842","Boeing 767-35DER"
"843","Boeing 767-366ER"
"844","Boeing 767-36NER"
"845","Boeing 767-375ER"
"846","Boeing 767-381ER"
"847","Boeing 767-38E"
"848","Boeing 767-38EER"
"849","Boeing 767-3BGER"
"850","Boeing 767-3D6"
"851","Boeing 767-3P6ER"
